"Story","Title","Result","Date","Stability","Duration (s)"
"Delete album","Delete users with valid id","SUCCESS","2023-01-20T18:09:37.823+07:00[Asia/Bangkok]","0.0","3.79"
"Delete album","Delete album with invalid id","FAILURE","2023-01-20T18:09:41.627+07:00[Asia/Bangkok]","0.0","1.2"
"Testing GET","Get album with valid parameter","SUCCESS","2023-01-20T18:09:42.84+07:00[Asia/Bangkok]","0.0","1.57"
"Testing GET","Get album with invalid parameter","FAILURE","2023-01-20T18:09:44.425+07:00[Asia/Bangkok]","0.0","1.1"
"Testing Create Album","Post create album with valid json","SUCCESS","2023-01-20T18:09:45.531+07:00[Asia/Bangkok]","0.0","1.14"
"Testing Create Album","Post create album with invalid json","FAILURE","2023-01-20T18:09:46.674+07:00[Asia/Bangkok]","0.0","1.1"
"Testing Create Album","Post create album with same body json","FAILURE","2023-01-20T18:09:47.783+07:00[Asia/Bangkok]","0.0","1.02"
"Testing Create Album","Post create album with blank body json","FAILURE","2023-01-20T18:09:48.814+07:00[Asia/Bangkok]","0.0","0.85"
"Testing Create Album","Post create album with extra body json","FAILURE","2023-01-20T18:09:49.666+07:00[Asia/Bangkok]","0.0","1.12"
"Put update albums","Put update album with valid parameter","SUCCESS","2023-01-20T18:09:50.794+07:00[Asia/Bangkok]","0.0","1.57"
"Put update albums","Put update album with invalid parameter request","FAILURE","2023-01-20T18:09:52.372+07:00[Asia/Bangkok]","0.0","1.05"
"Put update albums","Put update album with blank body","FAILURE","2023-01-20T18:09:53.427+07:00[Asia/Bangkok]","0.0","1.09"
"Put update albums","Put update album with extra body json","FAILURE","2023-01-20T18:09:54.525+07:00[Asia/Bangkok]","0.0","1.07"
"Put update albums","Put update album with unregister body json","SUCCESS","2023-01-20T18:09:55.605+07:00[Asia/Bangkok]","0.0","1.35"
"Testing DELETE comments JsonPlaceHolder","DELETE Comments with valid parameter","SUCCESS","2023-01-20T18:09:56.956+07:00[Asia/Bangkok]","0.0","2.0"
"Testing DELETE comments JsonPlaceHolder","DELETE Comments with unregistered parameter id","FAILURE","2023-01-20T18:09:58.963+07:00[Asia/Bangkok]","0.0","2.09"
"Testing DELETE comments JsonPlaceHolder","DELETE Comments with invalid parameter id","FAILURE","2023-01-20T18:10:01.054+07:00[Asia/Bangkok]","0.0","2.18"
